epoch,loss,val_loss
0,6875139.644444444,5310201.335820896
1,4479324.1,4394922.47761194
2,3921855.546296296,3984359.75
3,3453987.6453703702,3644508.7985074627
4,3152825.847222222,3464177.567164179
5,2953477.975925926,3359060.01119403
6,2808617.652777778,3260803.354477612
7,2688323.6157407407,3174189.6380597013
8,2579854.274074074,3133587.0895522386
9,2487073.3722222224,3106182.1268656715
10,2407918.8680555555,3062748.3917910447
11,2337101.959259259,3038103.444029851
12,2272118.1949074073,3007237.8917910447
13,2208387.4726851853,3005522.462686567
14,2150329.375925926,3026059.832089552
15,2100586.513888889,2991103.899253731
16,2055576.1351851851,2976847.1156716417
17,2009925.3152777778,2995780.037313433
18,1972591.7921296295,2997061.7164179105
19,1939165.4078703704,3005160.2350746267
